"nome","resumo","coordenador"
"DESENVOLVIMENTO E APLICAÇÃO DE MODELOS DE APRENDIZADO PROFUNDO EM ANÁLISE DE IMAGENS MÉDICAS PARA CLASSIFICAÇÃO DE TUMORES CEREBRAIS","Consiste no desenvolvimento de modelos híbridos de aprendizado profundo para a classificação precisa de tumores cerebrais em imagens de ressonância magnética (mri). Com a integração das arquiteturas yolo densenet resnet e bi-lstm visando as limitações dos métodos diagnósticos tradicionais proporcionando um diagnóstico rápido e preciso. Esta abordagem visa melhorar significativamente os prognósticos dos pacientes ao permitir a detecção precoce e a classificação dos tipos de tumores cerebrais.","Fernando Rodrigues Trindade Ferreira"
"DETERMINAÇÃO DE PARÂMETROS ESTRUTURAIS EM FLORESTAS DE MANGUE COM ESCANEAMENTO TRIDIMENSIONAL: I - COMPARAÇÃO DE MÉTODOS","O nema/uerj vem desenvolvendo com sucesso o uso do lidar em manguezais brasileiros. Essa aplicação se justifica pelos ganhos em precisão e agilidade e ao mesmo tempo desenvolve uma nova tecnologia para pesquisas florestais com dados mais abrangentes e tridimensionais. A diversidade florestal sempre representou uma barreira analítica devido à alta complexidade de crescimento e a avaliação da distribuição tridimensional poderá representar ganhos em termos de informação e futuras aplicações","Filipe De Oliveira Chaves"
"DINÂMICA NÃO-LINEAR: UMA INTRODUÇÃO AO CAOS.","O estudo de sistemas dinâmicos não-lineares em uma e duas dimensões é fundamental para a compreensão de uma ampla gama de fenômenos complexos na matemática e em outras áreas de conhecimento. Neste projeto visamos desenvolver as ferramentas necessárias para uma compreensão profunda e intuitiva desses sistemas dinâmicos. Além disso será dar ênfase na abordagem de analisar dinâmicas por meio de gráficos no espaço de fase o que proporcionará uma perspectiva visual e muito enriquecedora.","Guido Gerson Espiritu Ledesma"
"MODELAGEM MATEMÁTICA DE SISTEMAS COMPUTACIONAIS POR CADEIAS DE MARKOV: FUNDAMENTOS APLICAÇÕES E DESEMPENHO.","A importância dos modelos markovianos reside na sua capacidade de capturar comportamentos da evolução de sistemas no tempo considerando-se aleatoriedade. Este trabalho propõe-se ao estudo dos fundamentos teóricos de cadeias de markov bem como implementação tanto através de métodos numéricos computacionais como por simulações computacionais.","Guilherme Domingues"
"MODELAGEM MULTIESCALA E PROCESSAMENTO AVANÇADO DE DADOS PARA AVANÇOS EM FÍSICA DE ALTAS ENERGIAS","Este projeto visa propor técnicas e algoritmos eficientes para a reconstrução online da energia pelo calorímetro hadrônico do atlas (tilecal) considerando as atualizações na eletrônica de leitura e o aumento do empilhamento de sinais previsto no large hadron collider para alta luminosidade. Os algoritmos atuais não serão adequados para o novo cenário exigindo novas abordagens que serão implementadas em software e testadas no ambiente do atlas com ênfase no uso de redes neurais artificiais.","Gustavo Barbosa Libotte"
"GEOMETRIA NÃO EUCLIDIANAS: O ESTUDO DO ESPAÇO HIPERBÓLICO DE DIMENSÃO DOIS.","Neste projeto queremos fazer um estudo detalhado dos diferentes modelos que possui o espaço hiperbolico esttudando todos os geometricos possiveis desse modelo tais como geodesicas áreas de regiões no plano hiperbolico entre outro topicos. Para isso queremos fazer um estudo das geometria diferencial das curvas e superfícies analise complexa e com essa formação trabalhar no plano hiperbólico.","Haimer Alexander Trejos Serna"
"APLICAÇÕES DAS METODOLOGIAS DE PALINOFÁCIES E GEOQUÍMICA ORGÂNICA NA CARACTERIZAÇÃO DO POTENCIAL GERADOR DE HIDROCARBONETOS EM BACIAS PALEOZOICAS E MESOZOICAS BRASILEIRAS.","Pretende-se neste projeto fazer um estudo dos fatores que controlam o potencial gerador de hidrocarbonetos em amostras sedimentares de bacias paleozoicas e mesozoicas brasileiras. Serão utilizadas técnicas de geoquímica orgânica e palinofácies integrando os resultados destas diferentes ferramentas na reconstituição da história deposicional das seções destas bacias caracterizando os tipos a quantidade a preservação e a maturação térmica do material orgânico que compõem os estratos.","Helena Antunes Portela"
"RECONSTITUINDO O ORÓGENO RIACIANO DESMEMBRADO NA FAIXA RIBEIRA CENTRAL SE DO BRASIL","A proposta global de pesquisa pretende reconstituir o orógeno riaciano na região sudeste brasileira integrando dados da borda cratônica com as faixas móveis e propor correlações com o segmento norte do cráton de são francisco onde este orógeno está muito bem exposto. Estas correlações permitirão ainda comparar a evolução paleoproterozóica deste segmento da plataforma sul-americana com os modelos de supercontinentes globais em discussão no presente momento na literatura internacional.","Henrique Bruno"
"INDICADORES DE RECUPERAÇÃO DE ÁREAS DEGRADADAS NA BACIA HIDROGRÁFICA DO RIBEIRÃO CACHIMBAL SITUADA NO CAMPUS PINHEIRAL DO INSTITUTO FEDERAL DO RIO DE JANEIRO","A degradação das terras se relaciona à história da sua ocupação e formas de uso. No médio vale do rio paraíba do sul o modo como foram introduzidas as plantações de café ocasionou na destruição de grande parte da mata atlântica. Este trabalho tem como objetivo analisar a influência de diferentes formas ocupação sobre a qualidade dos solos tendo como área de estudos o campus do instituto federal do rio de janeiro  ifrj.","Hugo"
"APLICAÇÃO DE DISPOSITIVO DE MEMBRANA SEMIPERMEÁVEL (DMSP) PARA A DETERMINAÇÃO DE AGROTÓXICOS EM AMOSTRAS DE MEL POR CROMATOGRAFIA A LÍQUIDO DE ALTA EFICIÊNCIA COMDETECTOR DE ARRANJO DE DIODOS (CLAE-DAD).","A classe dos neonicotinoides assim como o fipronil são agrotóxicos que estão relacionados ao desaparecimento das abelhas. A redução ou mesmo extinção desses insetos pode causar um grave desiquilíbrio ambiental refletindo inclusive nas plantações que podem também desaparecer a longo prazo. Este projeto visa então o desenvolvimento e aplicação de um método simples e de baixo custo utilizando um dmsp com detecção por clae-dad para determinação destes inseticidas em amostras de mel.","Izylla Oliveira De Lucena"
